"Date","Price","Open","High","Low","Vol.","Change %"
"2020-01-22","1.3134","1.3067","1.3154","1.3034","58.71K","0.51%"
"2020-01-21","1.3067","1.3046","1.3081","1.3042","50.27K","0.16%"
"2020-01-20","1.3046","1.3062","1.3074","1.3042","37.95K","-0.13%"
"2020-01-17","1.3063","1.3042","1.3076","1.3032","49.82K","0.18%"
"2020-01-16","1.3040","1.3039","1.3058","1.3030","49.07K","-0.01%"
"2020-01-15","1.3041","1.3062","1.3080","1.3033","53.43K","-0.15%"
"2020-01-14","1.3060","1.3056","1.3081","1.3045","53.09K","0.03%"
"2020-01-13","1.3056","1.3051","1.3068","1.3032","40.30K","0.05%"
"2020-01-10","1.3050","1.3056","1.3077","1.3027","56.92K","-0.03%"
"2020-01-09","1.3054","1.3039","1.3106","1.3024","58.59K","0.13%"
"2020-01-08","1.3037","1.3004","1.3045","1.2974","71.49K","0.26%"
"2020-01-07","1.3003","1.2962","1.3031","1.2954","56.10K","0.31%"
"2020-01-06","1.2963","1.2984","1.2991","1.2958","46.56K","-0.28%"
"2020-01-03","1.2999","1.2980","1.3009","1.2959","66.87K","0.16%"
"2020-01-02","1.2978","1.2987","1.3009","1.2967","46.03K","-0.06%"
"2020-01-01","1.2986","1.2986","1.3001","1.2979","1.86K","0.00%"
"2019-12-31","1.2986","1.3070","1.3071","1.2949","65.27K","-0.60%"
"2019-12-30","1.3064","1.3075","1.3086","1.3047","45.34K","-0.09%"
"2019-12-27","1.3076","1.3125","1.3125","1.3062","49.92K","-0.34%"
"2019-12-26","1.3121","1.3163","1.3166","1.3101","26.04K","-0.30%"
"2019-12-25","1.3160","1.3166","1.3171","1.3149","1.69K","-0.04%"
"2019-12-24","1.3165","1.3145","1.3170","1.3140","48.36K","0.17%"
"2019-12-23","1.3143","1.3148","1.3178","1.3139","37.23K","-0.02%"
"2019-12-20","1.3146","1.3126","1.3182","1.3119","47.75K","0.16%"
"2019-12-19","1.3125","1.3112","1.3139","1.3106","44.54K","0.09%"
"2019-12-18","1.3113","1.3160","1.3176","1.3100","46.38K","-0.34%"
"2019-12-17","1.3158","1.3154","1.3187","1.3143","47.80K","0.06%"
"2019-12-16","1.3150","1.3170","1.3187","1.3112","41.52K","-0.11%"
"2019-12-13","1.3165","1.3186","1.3206","1.3149","64.69K","-0.13%"
"2019-12-12","1.3182","1.3175","1.3195","1.3160","49.80K","0.08%"
"2019-12-11","1.3171","1.3231","1.3240","1.3160","41.00K","-0.41%"
"2019-12-10","1.3225","1.3237","1.3250","1.3222","41.85K","-0.09%"
"2019-12-09","1.3237","1.3256","1.3267","1.3220","34.07K","-0.14%"
"2019-12-06","1.3255","1.3171","1.3270","1.3168","43.69K","0.62%"
"2019-12-05","1.3173","1.3201","1.3204","1.3156","49.51K","-0.20%"
"2019-12-04","1.3199","1.3296","1.3299","1.3190","52.81K","-0.71%"
"2019-12-03","1.3294","1.3306","1.3322","1.3281","50.07K","-0.11%"
"2019-12-02","1.3308","1.3279","1.3311","1.3271","41.23K","0.25%"
"2019-11-29","1.3275","1.3282","1.3316","1.3270","43.74K","-0.02%"
"2019-11-28","1.3277","1.3281","1.3300","1.3274","42.76K","-0.03%"
"2019-11-27","1.3281","1.3271","1.3291","1.3258","50.89K","0.08%"
"2019-11-26","1.3270","1.3299","1.3318","1.3267","53.26K","-0.20%"
"2019-11-25","1.3297","1.3302","1.3320","1.3284","40.17K","-0.03%"
"2019-11-22","1.3301","1.3286","1.3303","1.3252","52.18K","0.12%"
"2019-11-21","1.3285","1.3302","1.3326","1.3267","58.51K","-0.14%"
"2019-11-20","1.3303","1.3268","1.3329","1.3260","54.18K","0.28%"
"2019-11-19","1.3266","1.3205","1.3274","1.3188","51.61K","0.45%"
"2019-11-18","1.3206","1.3224","1.3237","1.3197","69.56K","-0.11%"
"2019-11-15","1.3221","1.3247","1.3253","1.3214","65.25K","-0.18%"
"2019-11-14","1.3245","1.3250","1.3272","1.3241","61.79K","-0.03%"
"2019-11-13","1.3249","1.3232","1.3269","1.3225","59.16K","0.14%"
"2019-11-12","1.3231","1.3233","1.3259","1.3213","60.39K","0.00%"
"2019-11-11","1.3231","1.3221","1.3236","1.3210","57.13K","0.02%"
"2019-11-08","1.3228","1.3174","1.3238","1.3163","82.22K","0.45%"
"2019-11-07","1.3169","1.3181","1.3201","1.3155","88.04K","-0.08%"
"2019-11-06","1.3180","1.3156","1.3195","1.3139","81.37K","0.20%"
"2019-11-05","1.3154","1.3151","1.3180","1.3110","96.44K","0.04%"
"2019-11-04","1.3149","1.3132","1.3162","1.3126","79.09K","0.11%"
"2019-11-01","1.3134","1.3164","1.3197","1.3135","74.61K","-0.19%"
"2019-10-31","1.3159","1.3158","1.3180","1.3133","71.51K","0.02%"
"2019-10-30","1.3156","1.3087","1.3209","1.3070","79.98K","0.54%"
"2019-10-29","1.3085","1.3055","1.3101","1.3039","81.72K","0.27%"
"2019-10-28","1.3050","1.3061","1.3080","1.3046","62.25K","-0.06%"
"2019-10-25","1.3058","1.3071","1.3077","1.3053","71.01K","-0.10%"
"2019-10-24","1.3071","1.3070","1.3095","1.3051","79.46K","0.03%"
"2019-10-23","1.3067","1.3096","1.3111","1.3065","77.56K","-0.18%"
"2019-10-22","1.3091","1.3088","1.3124","1.3068","86.82K","0.05%"
"2019-10-21","1.3084","1.3126","1.3144","1.3076","54.03K","-0.30%"
"2019-10-18","1.3124","1.3137","1.3147","1.3117","56.65K","-0.08%"
"2019-10-17","1.3135","1.3202","1.3212","1.3129","59.85K","-0.50%"
"2019-10-16","1.3201","1.3199","1.3230","1.3182","56.95K","0.03%"
"2019-10-15","1.3197","1.3233","1.3240","1.3193","52.52K","-0.26%"
"2019-10-14","1.3231","1.3198","1.3240","1.3190","46.31K","0.27%"
"2019-10-11","1.3196","1.3293","1.3301","1.3168","71.61K","-0.71%"
"2019-10-10","1.3290","1.3333","1.3347","1.3267","76.06K","-0.30%"
"2019-10-09","1.3330","1.3326","1.3340","1.3293","64.50K","0.05%"
"2019-10-08","1.3324","1.3308","1.3338","1.3286","65.69K","0.13%"
"2019-10-07","1.3307","1.3314","1.3332","1.3288","52.12K","-0.05%"
"2019-10-04","1.3313","1.3335","1.3340","1.3297","76.74K","-0.16%"
"2019-10-03","1.3335","1.3326","1.3348","1.3308","72.55K","0.11%"
"2019-10-02","1.3321","1.3220","1.3329","1.3203","69.01K","0.78%"
"2019-10-01","1.3218","1.3241","1.3291","1.3207","76.46K","-0.16%"
"2019-09-30","1.3239","1.3246","1.3261","1.3223","58.26K","-0.04%"
"2019-09-27","1.3244","1.3266","1.3279","1.3211","62.32K","-0.18%"
"2019-09-26","1.3268","1.3267","1.3277","1.3230","68.50K","0.02%"
"2019-09-25","1.3266","1.3239","1.3290","1.3233","69.33K","0.20%"
"2019-09-24","1.3240","1.3263","1.3276","1.3230","63.43K","-0.16%"
"2019-09-23","1.3261","1.3256","1.3306","1.3252","53.10K","0.02%"
"2019-09-20","1.3259","1.3262","1.3302","1.3252","70.34K","-0.01%"
"2019-09-19","1.3260","1.3289","1.3309","1.3240","73.00K","-0.18%"
"2019-09-18","1.3284","1.3243","1.3311","1.3238","74.74K","0.32%"
"2019-09-17","1.3241","1.3237","1.3300","1.3231","84.77K","0.05%"
"2019-09-16","1.3235","1.3226","1.3272","1.3205","81.65K","-0.36%"
"2019-09-13","1.3283","1.3211","1.3289","1.3204","74.08K","0.56%"
"2019-09-12","1.3209","1.3193","1.3222","1.3174","82.24K","0.14%"
"2019-09-11","1.3191","1.3152","1.3215","1.3138","69.81K","0.32%"
"2019-09-10","1.3149","1.3168","1.3192","1.3131","64.75K","-0.13%"
"2019-09-09","1.3166","1.3173","1.3184","1.3137","55.19K","-0.03%"
"2019-09-06","1.3170","1.3228","1.3237","1.3156","75.61K","-0.43%"
"2019-09-05","1.3227","1.3223","1.3247","1.3190","71.20K","0.04%"
"2019-09-04","1.3222","1.3336","1.3346","1.3216","70.69K","-0.83%"
"2019-09-03","1.3332","1.3327","1.3384","1.3321","62.55K","0.05%"
"2019-09-02","1.3325","1.3313","1.3362","1.3311","34.88K","0.11%"
"2019-08-30","1.3310","1.3286","1.3334","1.3245","78.98K","0.20%"
"2019-08-29","1.3284","1.3307","1.3321","1.3270","69.65K","-0.16%"
"2019-08-28","1.3305","1.3281","1.3319","1.3278","73.33K","0.19%"
"2019-08-27","1.3280","1.3254","1.3302","1.3223","75.51K","0.20%"
"2019-08-26","1.3253","1.3294","1.3320","1.3244","83.58K","-0.19%"
"2019-08-23","1.3278","1.3302","1.3340","1.3275","80.55K","-0.18%"
"2019-08-22","1.3302","1.3291","1.3317","1.3273","67.64K","0.10%"
"2019-08-21","1.3289","1.3315","1.3329","1.3253","64.75K","-0.19%"
"2019-08-20","1.3314","1.3325","1.3346","1.3306","62.41K","-0.07%"
"2019-08-19","1.3323","1.3273","1.3339","1.3250","48.37K","0.40%"
"2019-08-16","1.3270","1.3311","1.3326","1.3259","67.50K","-0.29%"
"2019-08-15","1.3308","1.3320","1.3340","1.3284","85.94K","-0.07%"
"2019-08-14","1.3317","1.3222","1.3327","1.3208","83.35K","0.73%"
"2019-08-13","1.3221","1.3239","1.3294","1.3184","74.19K","-0.13%"
"2019-08-12","1.3238","1.3226","1.3252","1.3202","61.93K","0.09%"
"2019-08-09","1.3226","1.3225","1.3276","1.3194","83.70K","0.02%"
"2019-08-08","1.3224","1.3301","1.3315","1.3219","84.21K","-0.57%"
"2019-08-07","1.3300","1.3281","1.3346","1.3267","96.69K","0.17%"
"2019-08-06","1.3278","1.3215","1.3293","1.3185","96.90K","0.49%"
"2019-08-05","1.3213","1.3210","1.3248","1.3175","72.90K","0.07%"
"2019-08-02","1.3204","1.3211","1.3267","1.3198","92.23K","-0.05%"
"2019-08-01","1.3211","1.3192","1.3248","1.3180","83.43K","0.17%"
"2019-07-31","1.3189","1.3152","1.3215","1.3103","72.57K","0.33%"
"2019-07-30","1.3146","1.3163","1.3192","1.3141","60.18K","-0.11%"
"2019-07-29","1.3161","1.3168","1.3183","1.3147","42.71K","-0.04%"
"2019-07-26","1.3166","1.3166","1.3199","1.3155","58.92K","0.04%"
"2019-07-25","1.3161","1.3143","1.3168","1.3113","65.43K","0.17%"
"2019-07-24","1.3139","1.3132","1.3152","1.3117","64.32K","0.05%"
"2019-07-23","1.3132","1.3120","1.3165","1.3114","63.67K","0.11%"
"2019-07-22","1.3118","1.3066","1.3122","1.3039","49.30K","0.44%"
"2019-07-19","1.3060","1.3027","1.3111","1.3014","75.01K","0.27%"
"2019-07-18","1.3025","1.3052","1.3096","1.3023","66.77K","-0.17%"
"2019-07-17","1.3047","1.3088","1.3095","1.3033","58.17K","-0.30%"
"2019-07-16","1.3086","1.3049","1.3093","1.3021","62.83K","0.30%"
"2019-07-15","1.3047","1.3035","1.3054","1.3019","44.58K","0.14%"
"2019-07-12","1.3029","1.3072","1.3081","1.3016","64.75K","-0.33%"
"2019-07-11","1.3072","1.3083","1.3092","1.3040","67.92K","-0.06%"
"2019-07-10","1.3080","1.3127","1.3145","1.3060","69.24K","-0.34%"
"2019-07-09","1.3125","1.3097","1.3143","1.3086","63.02K","0.25%"
"2019-07-08","1.3092","1.3071","1.3104","1.3047","53.48K","0.13%"
"2019-07-05","1.3075","1.3053","1.3138","1.3043","78.39K","0.19%"
"2019-07-04","1.3050","1.3059","1.3081","1.3035","66.69K","-0.02%"
"2019-07-03","1.3053","1.3108","1.3120","1.3055","73.83K","-0.39%"
"2019-07-02","1.3104","1.3135","1.3139","1.3094","73.07K","-0.23%"
"2019-07-01","1.3134","1.3092","1.3147","1.3063","64.01K","0.34%"
"2019-06-28","1.3090","1.3095","1.3105","1.3057","79.33K","-0.04%"
"2019-06-27","1.3095","1.3127","1.3139","1.3089","73.31K","-0.23%"
"2019-06-26","1.3125","1.3167","1.3195","1.3105","83.77K","-0.32%"
"2019-06-25","1.3167","1.3180","1.3210","1.3150","88.62K","-0.08%"
"2019-06-24","1.3177","1.3220","1.3223","1.3176","61.26K","-0.33%"
"2019-06-21","1.3221","1.3189","1.3231","1.3160","90.29K","0.24%"
"2019-06-20","1.3189","1.3281","1.3288","1.3149","94.43K","-0.67%"
"2019-06-19","1.3278","1.3377","1.3384","1.3276","81.87K","-0.73%"
"2019-06-18","1.3376","1.3413","1.3434","1.3373","82.11K","-0.26%"
"2019-06-17","1.3411","1.3405","1.3420","1.3391","58.67K","0.00%"
"2019-06-14","1.3411","1.3326","1.3424","1.3321","70.40K","0.65%"
"2019-06-13","1.3324","1.3343","1.3345","1.3298","79.16K","-0.13%"
"2019-06-12","1.3341","1.3284","1.3346","1.3271","74.36K","0.47%"
"2019-06-11","1.3279","1.3269","1.3310","1.3248","73.79K","0.11%"
"2019-06-10","1.3265","1.3248","1.3282","1.3225","66.74K","0.00%"
"2019-06-07","1.3265","1.3359","1.3369","1.3260","77.20K","-0.72%"
"2019-06-06","1.3361","1.3413","1.3432","1.3357","83.41K","-0.38%"
"2019-06-05","1.3412","1.3394","1.3431","1.3361","94.11K","0.16%"
"2019-06-04","1.3390","1.3439","1.3455","1.3379","98.08K","-0.32%"
"2019-06-03","1.3433","1.3521","1.3529","1.3433","85.55K","-0.58%"
"2019-05-31","1.3512","1.3501","1.3566","1.3491","108.15K","0.10%"
"2019-05-30","1.3498","1.3520","1.3522","1.3483","86.61K","-0.16%"
"2019-05-29","1.3519","1.3494","1.3548","1.3479","93.73K","0.21%"
"2019-05-28","1.3490","1.3443","1.3500","1.3431","85.40K","0.36%"
"2019-05-27","1.3441","1.3433","1.3454","1.3428","60.20K","0.04%"
"2019-05-24","1.3436","1.3474","1.3484","1.3428","81.89K","-0.27%"
"2019-05-23","1.3472","1.3436","1.3504","1.3429","83.81K","0.32%"
"2019-05-22","1.3429","1.3409","1.3440","1.3355","85.45K","0.18%"
"2019-05-21","1.3405","1.3428","1.3437","1.3394","85.60K","-0.16%"
"2019-05-20","1.3426","1.3462","1.3465","1.3414","69.44K","-0.22%"
"2019-05-17","1.3455","1.3458","1.3515","1.3432","94.80K","-0.01%"
"2019-05-16","1.3457","1.3437","1.3471","1.3398","81.33K","0.15%"
"2019-05-15","1.3437","1.3462","1.3494","1.3425","87.84K","-0.16%"
"2019-05-14","1.3459","1.3477","1.3489","1.3453","82.35K","-0.12%"
"2019-05-13","1.3475","1.3420","1.3486","1.3415","76.54K","0.47%"
"2019-05-10","1.3412","1.3478","1.3485","1.3378","104.26K","-0.48%"
"2019-05-09","1.3477","1.3481","1.3506","1.3457","86.33K","0.00%"
"2019-05-08","1.3477","1.3474","1.3488","1.3442","88.50K","0.04%"
"2019-05-07","1.3472","1.3448","1.3490","1.3408","86.23K","0.19%"
"2019-05-06","1.3446","1.3434","1.3495","1.3428","72.06K","0.19%"
"2019-05-03","1.3420","1.3476","1.3491","1.3404","78.16K","-0.39%"
"2019-05-02","1.3472","1.3443","1.3478","1.3428","81.85K","0.23%"
"2019-05-01","1.3441","1.3388","1.3463","1.3375","71.06K","0.41%"
"2019-04-30","1.3386","1.3458","1.3482","1.3379","81.69K","-0.52%"
"2019-04-29","1.3456","1.3456","1.3481","1.3438","62.05K","0.02%"
"2019-04-26","1.3453","1.3485","1.3499","1.3449","93.78K","-0.24%"
"2019-04-25","1.3485","1.3495","1.3518","1.3480","78.26K","-0.03%"
"2019-04-24","1.3489","1.3424","1.3522","1.3416","101.20K","0.50%"
"2019-04-23","1.3422","1.3347","1.3445","1.3341","85.34K","0.60%"
"2019-04-22","1.3342","1.3388","1.3397","1.3333","72.55K","-0.36%"
"2019-04-19","1.3390","1.3374","1.3397","1.3364","81.76K","0.12%"
"2019-04-18","1.3374","1.3341","1.3401","1.3334","88.64K","0.27%"
"2019-04-17","1.3338","1.3347","1.3374","1.3272","99.62K","-0.08%"
"2019-04-16","1.3349","1.3367","1.3404","1.3344","100.59K","-0.10%"
"2019-04-15","1.3362","1.3339","1.3391","1.3295","90.55K","0.32%"
"2019-04-12","1.3320","1.3386","1.3392","1.3310","98.58K","-0.48%"
"2019-04-11","1.3384","1.3318","1.3399","1.3311","100.73K","0.48%"
"2019-04-10","1.3320","1.3330","1.3364","1.3304","104.57K","-0.06%"
"2019-04-09","1.3328","1.3312","1.3335","1.3279","105.04K","0.11%"
"2019-04-08","1.3313","1.3391","1.3394","1.3303","77.34K","-0.52%"
"2019-04-05","1.3382","1.3356","1.3404","1.3346","113.88K","0.18%"
"2019-04-04","1.3358","1.3349","1.3374","1.3335","112.96K","0.11%"
"2019-04-03","1.3343","1.3337","1.3355","1.3294","115.33K","0.04%"
"2019-04-02","1.3337","1.3305","1.3376","1.3303","120.55K","0.23%"
"2019-04-01","1.3306","1.3354","1.3372","1.3297","100.39K","-0.28%"
"2019-03-29","1.3344","1.3436","1.3447","1.3339","127.58K","-0.69%"
"2019-03-28","1.3437","1.3409","1.3454","1.3394","128.74K","0.21%"
"2019-03-27","1.3409","1.3380","1.3441","1.3374","128.97K","0.21%"
"2019-03-26","1.3381","1.3404","1.3422","1.3370","115.21K","-0.15%"
"2019-03-25","1.3401","1.3432","1.3447","1.3397","93.59K","-0.19%"
"2019-03-22","1.3426","1.3363","1.3434","1.3350","132.56K","0.51%"
"2019-03-21","1.3358","1.3305","1.3404","1.3272","130.98K","0.41%"
"2019-03-20","1.3304","1.3317","1.3352","1.3255","121.90K","-0.11%"
"2019-03-19","1.3319","1.3333","1.3348","1.3248","126.14K","-0.11%"
"2019-03-18","1.3334","1.3349","1.3370","1.3301","80.37K","0.00%"
"2019-03-15","1.3334","1.3335","1.3375","1.3287","125.68K","0.01%"
"2019-03-14","1.3333","1.3300","1.3352","1.3285","117.25K","0.22%"
"2019-03-13","1.3304","1.3352","1.3374","1.3288","122.71K","-0.36%"
"2019-03-12","1.3352","1.3391","1.3420","1.3350","123.13K","-0.28%"
"2019-03-11","1.3389","1.3418","1.3442","1.3390","100.24K","-0.18%"
"2019-03-08","1.3413","1.3452","1.3470","1.3389","125.39K","-0.30%"
"2019-03-07","1.3453","1.3442","1.3471","1.3411","117.83K","0.10%"
"2019-03-06","1.3440","1.3347","1.3458","1.3347","125.16K","0.71%"
"2019-03-05","1.3345","1.3303","1.3364","1.3299","117.05K","0.32%"
"2019-03-04","1.3302","1.3293","1.3341","1.3274","102.06K","0.05%"
"2019-03-01","1.3295","1.3172","1.3312","1.3128","125.62K","0.98%"
"2019-02-28","1.3166","1.3155","1.3210","1.3138","124.25K","0.09%"
"2019-02-27","1.3154","1.3168","1.3180","1.3116","133.38K","-0.09%"
"2019-02-26","1.3166","1.3192","1.3239","1.3152","110.48K","-0.17%"
"2019-02-25","1.3188","1.3144","1.3199","1.3111","97.36K","0.40%"
"2019-02-22","1.3136","1.3231","1.3246","1.3131","117.38K","-0.71%"
"2019-02-21","1.3230","1.3176","1.3239","1.3160","126.10K","0.43%"
"2019-02-20","1.3174","1.3211","1.3221","1.3148","120.24K","-0.24%"
"2019-02-19","1.3206","1.3243","1.3284","1.3203","96.40K","-0.25%"
"2019-02-18","1.3239","1.3241","1.3250","1.3224","71.43K","-0.03%"
"2019-02-15","1.3243","1.3295","1.3317","1.3241","117.37K","-0.38%"
"2019-02-14","1.3293","1.3252","1.3343","1.3227","120.77K","0.31%"
"2019-02-13","1.3252","1.3237","1.3264","1.3194","107.53K","0.13%"
"2019-02-12","1.3235","1.3303","1.3319","1.3231","117.30K","-0.52%"
"2019-02-11","1.3304","1.3281","1.3321","1.3260","97.97K","0.21%"
"2019-02-08","1.3276","1.3305","1.3330","1.3230","114.22K","-0.23%"
"2019-02-07","1.3306","1.3213","1.3321","1.3203","104.68K","0.71%"
"2019-02-06","1.3212","1.3123","1.3219","1.3122","115.65K","0.67%"
"2019-02-05","1.3124","1.3110","1.3155","1.3100","110.77K","0.11%"
"2019-02-04","1.3110","1.3112","1.3148","1.3084","80.19K","0.09%"
"2019-02-01","1.3098","1.3123","1.3161","1.3066","118.77K","-0.20%"
"2019-01-31","1.3124","1.3150","1.3167","1.3118","115.37K","-0.19%"
"2019-01-30","1.3149","1.3270","1.3285","1.3116","121.20K","-0.89%"
"2019-01-29","1.3267","1.3265","1.3288","1.3240","117.15K","0.02%"
"2019-01-28","1.3264","1.3218","1.3288","1.3201","96.05K","0.34%"
"2019-01-25","1.3219","1.3349","1.3364","1.3212","115.43K","-0.97%"
"2019-01-24","1.3349","1.3341","1.3376","1.3328","115.60K","0.07%"
"2019-01-23","1.3340","1.3355","1.3371","1.3303","114.06K","-0.10%"
"2019-01-22","1.3354","1.3292","1.3359","1.3291","112.09K","0.47%"
"2019-01-21","1.3292","1.3248","1.3319","1.3248","102.97K","0.25%"
"2019-01-18","1.3259","1.3278","1.3286","1.3230","90.09K","-0.14%"
"2019-01-17","1.3277","1.3254","1.3320","1.3245","99.20K","0.17%"
"2019-01-16","1.3255","1.3264","1.3286","1.3233","","-0.08%"
"2019-01-15","1.3265","1.3282","1.3296","1.3224","","-0.16%"
"2019-01-14","1.3286","1.3262","1.3299","1.3250","","0.15%"
"2019-01-11","1.3266","1.3236","1.3280","1.3181","","0.23%"
"2019-01-10","1.3236","1.3209","1.3260","1.3199","","0.20%"
"2019-01-09","1.3209","1.3275","1.3281","1.3178","","-0.49%"
"2019-01-08","1.3274","1.3297","1.3323","1.3265","4.67K","-0.18%"
"2019-01-07","1.3298","1.3375","1.3391","1.3276","4.51K","-0.57%"
"2019-01-04","1.3374","1.3488","1.3497","1.3371","0.02K","-0.85%"
"2019-01-03","1.3489","1.3577","1.3657","1.3467","5.18K","-0.66%"
"2019-01-02","1.3578","1.3637","1.3662","1.3564","6.25K","-0.45%"
"2019-01-01","1.3639","1.3636","1.3646","1.3635","3.17K","0.01%"
"2018-12-31","1.3638","1.3630","1.3664","1.3605","0.01K","-0.01%"
"2018-12-28","1.3639","1.3619","1.3662","1.3591","","0.15%"
"2018-12-27","1.3618","1.3573","1.3662","1.3564","","0.34%"
"2018-12-26","1.3572","1.3593","1.3619","1.3566","","-0.13%"
"2018-12-25","1.3590","1.3601","1.3621","1.3574","","-0.12%"
"2018-12-24","1.3606","1.3600","1.3617","1.3564","","0.04%"
"2018-12-21","1.3600","1.3511","1.3604","1.3490","","0.67%"
"2018-12-20","1.3509","1.3486","1.3532","1.3444","","0.18%"
"2018-12-19","1.3485","1.3463","1.3508","1.3413","","0.15%"
"2018-12-18","1.3465","1.3406","1.3498","1.3388","","0.45%"
"2018-12-17","1.3405","1.3381","1.3422","1.3372","","0.16%"
"2018-12-14","1.3384","1.3354","1.3403","1.3345","","0.24%"
"2018-12-13","1.3352","1.3352","1.3385","1.3336","","0.01%"
"2018-12-12","1.3351","1.3392","1.3400","1.3320","","-0.29%"
"2018-12-11","1.3390","1.3395","1.3426","1.3376","","-0.04%"
"2018-12-10","1.3395","1.3322","1.3418","1.3290","","0.56%"
"2018-12-07","1.3321","1.3385","1.3402","1.3251","","-0.44%"
"2018-12-06","1.3380","1.3353","1.3445","1.3352","","0.19%"
"2018-12-05","1.3354","1.3261","1.3401","1.3250","","0.70%"
"2018-12-04","1.3261","1.3197","1.3268","1.3162","","0.48%"
"2018-12-03","1.3197","1.3257","1.3270","1.3159","","-0.74%"
"2018-11-30","1.3296","1.3283","1.3335","1.3271","","0.10%"
"2018-11-29","1.3283","1.3276","1.3314","1.3251","","0.05%"
"2018-11-28","1.3276","1.3294","1.3359","1.3237","","-0.14%"
"2018-11-27","1.3295","1.3255","1.3330","1.3233","","0.32%"
"2018-11-26","1.3252","1.3232","1.3263","1.3186","","0.11%"
"2018-11-23","1.3237","1.3188","1.3261","1.3182","","0.36%"
"2018-11-22","1.3190","1.3231","1.3247","1.3179","","-0.31%"
"2018-11-21","1.3231","1.3304","1.3319","1.3224","","-0.56%"
"2018-11-20","1.3306","1.3172","1.3320","1.3153","","1.02%"
"2018-11-19","1.3171","1.3144","1.3201","1.3139","","0.19%"
"2018-11-16","1.3146","1.3183","1.3189","1.3126","","-0.24%"
"2018-11-15","1.3178","1.3244","1.3252","1.3155","","-0.46%"
"2018-11-14","1.3239","1.3240","1.3265","1.3204","","0.02%"
"2018-11-13","1.3236","1.3246","1.3265","1.3213","","-0.08%"
"2018-11-12","1.3247","1.3195","1.3251","1.3180","","0.27%"
"2018-11-09","1.3211","1.3153","1.3233","1.3138","","0.45%"
"2018-11-08","1.3152","1.3110","1.3185","1.3085","","0.31%"
"2018-11-07","1.3112","1.3122","1.3160","1.3054","","-0.09%"
"2018-11-06","1.3124","1.3111","1.3146","1.3100","","0.11%"
"2018-11-05","1.3110","1.3105","1.3117","1.3069","","0.01%"
"2018-11-02","1.3109","1.3084","1.3120","1.3046","","0.17%"
"2018-11-01","1.3087","1.3155","1.3170","1.3064","","-0.52%"
"2018-10-31","1.3155","1.3108","1.3173","1.3104","","0.37%"
"2018-10-30","1.3107","1.3133","1.3149","1.3098","","-0.21%"
"2018-10-29","1.3135","1.3108","1.3151","1.3079","","0.21%"
"2018-10-26","1.3107","1.3072","1.3160","1.3066","","0.28%"
"2018-10-25","1.3071","1.3057","1.3100","1.3012","","0.13%"
