"date","bank_rate"
"July 1977","7.50"
"August 1977","7.50"
"September 1977","7.50"
"October 1977","7.50"
"November 1977","7.50"
"December 1977","7.50"
"January 1978","7.50"
"February 1978","7.50"
"March 1978","8.00"
"April 1978","8.50"
"May 1978","8.50"
"June 1978","8.50"
"July 1978","9.00"
"August 1978","9.00"
"September 1978","9.50"
"October 1978","10.25"
"November 1978","10.75"
"December 1978","10.75"
"January 1979","11.25"
"February 1979","11.25"
"March 1979","11.25"
"April 1979","11.25"
"May 1979","11.25"
"June 1979","11.25"
"July 1979","11.75"
"August 1979","11.75"
"September 1979","12.25"
"October 1979","14.00"
"November 1979","14.00"
"December 1979","14.00"
"January 1980","14.00"
"February 1980","14.00"
"March 1980","14.79"
"April 1980","15.67"
"May 1980","11.83"
"June 1980","10.67"
"July 1980","10.18"
"August 1980","10.45"
"September 1980","11.02"
"October 1980","11.76"
"November 1980","13.06"
"December 1980","17.26"
"January 1981","17.00"
"February 1981","17.14"
"March 1981","16.59"
"April 1981","17.40"
"May 1981","19.06"
"June 1981","19.07"
"July 1981","19.89"
"August 1981","21.03"
"September 1981","19.63"
"October 1981","18.30"
"November 1981","15.40"
"December 1981","14.66"
"January 1982","14.72"
"February 1982","14.74"
"March 1982","15.11"
"April 1982","15.32"
"May 1982","15.32"
"June 1982","16.58"
"July 1982","15.60"
"August 1982","14.26"
"September 1982","13.18"
"October 1982","11.53"
"November 1982","10.87"
"December 1982","10.26"
"January 1983","9.81"
"February 1983","9.43"
"March 1983","9.42"
"April 1983","9.46"
"May 1983","9.38"
"June 1983","9.42"
"July 1983","9.51"
"August 1983","9.57"
"September 1983","9.52"
"October 1983","9.45"
"November 1983","9.63"
"December 1983","10.04"
"January 1984","9.98"
"February 1984","10.04"
"March 1984","10.76"
"April 1984","10.82"
"May 1984","11.60"
"June 1984","11.98"
"July 1984","13.24"
"August 1984","12.39"
"September 1984","12.28"
"October 1984","11.71"
"November 1984","10.78"
"December 1984","10.16"
"January 1985","9.66"
"February 1985","10.95"
"March 1985","11.18"
"April 1985","9.75"
"May 1985","9.59"
"June 1985","9.57"
"July 1985","9.31"
"August 1985","9.20"
"September 1985","9.31"
"October 1985","8.77"
"November 1985","8.98"
"December 1985","9.49"
"January 1986","10.33"
"February 1986","11.84"
"March 1986","10.44"
"April 1986","9.27"
"May 1986","8.43"
"June 1986","8.84"
"July 1986","8.63"
"August 1986","8.58"
"September 1986","8.63"
"October 1986","8.62"
"November 1986","8.47"
"December 1986","8.49"
"January 1987","7.74"
"February 1987","7.59"
"March 1987","7.14"
"April 1987","8.26"
"May 1987","8.54"
"June 1987","8.59"
"July 1987","8.76"
"August 1987","9.24"
"September 1987","9.57"
"October 1987","8.26"
"November 1987","8.48"
"December 1987","8.66"
"January 1988","8.63"
"February 1988","8.58"
"March 1988","8.78"
"April 1988","9.06"
"May 1988","9.12"
"June 1988","9.44"
"July 1988","9.53"
"August 1988","10.03"
"September 1988","10.54"
"October 1988","10.51"
"November 1988","10.84"
"December 1988","11.17"
"January 1989","11.54"
"February 1989","11.70"
"March 1989","12.40"
"April 1989","12.61"
"May 1989","12.40"
"June 1989","12.31"
"July 1989","12.32"
"August 1989","12.40"
"September 1989","12.47"
"October 1989","12.43"
"November 1989","12.47"
"December 1989","12.47"
"January 1990","12.29"
"February 1990","13.25"
"March 1990","13.38"
"April 1990","13.77"
"May 1990","14.05"
"June 1990","13.90"
"July 1990","13.59"
"August 1990","13.01"
"September 1990","12.61"
"October 1990","12.66"
"November 1990","12.25"
"December 1990","11.78"
"January 1991","10.88"
"February 1991","10.02"
"March 1991","9.92"
"April 1991","9.66"
"May 1991","9.07"
"June 1991","8.91"
"July 1991","8.94"
"August 1991","8.80"
"September 1991","8.68"
"October 1991","8.17"
"November 1991","7.69"
"December 1991","7.67"
"January 1992","7.08"
"February 1992","7.56"
"March 1992","7.65"
"April 1992","6.85"
"May 1992","6.50"
"June 1992","5.91"
"July 1992","5.50"
"August 1992","5.11"
"September 1992","5.69"
"October 1992","7.37"
"November 1992","8.82"
"December 1992","7.36"
"January 1993","6.81"
"February 1993","6.09"
"March 1993","5.36"
"April 1993","5.60"
"May 1993","5.10"
"June 1993","4.79"
"July 1993","4.41"
"August 1993","4.90"
"September 1993","4.90"
"October 1993","4.63"
"November 1993","4.36"
"December 1993","4.11"
"January 1994","3.88"
"February 1994","4.10"
"March 1994","5.64"
"April 1994","6.07"
"May 1994","6.31"
"June 1994","6.92"
"July 1994","6.04"
"August 1994","5.60"
"September 1994","5.54"
"October 1994","5.62"
"November 1994","6.04"
"December 1994","7.43"
"January 1995","8.38"
"February 1995","8.38"
"March 1995","8.47"
"April 1995","8.17"
"May 1995","7.64"
"June 1995","6.97"
"July 1995","6.87"
"August 1995","6.59"
"September 1995","6.71"
"October 1995","7.65"
"November 1995","6.07"
"December 1995","5.79"
"January 1996","5.37"
"February 1996","5.50"
"March 1996","5.25"
"April 1996","5.00"
"May 1996","5.00"
"June 1996","5.00"
"July 1996","4.75"
"August 1996","4.25"
"September 1996","4.25"
"October 1996","3.50"
"November 1996","3.25"
"December 1996","3.25"
"January 1997","3.25"
"February 1997","3.25"
"March 1997","3.25"
"April 1997","3.25"
"May 1997","3.25"
"June 1997","3.25"
"July 1997","3.50"
"August 1997","3.50"
"September 1997","3.50"
"October 1997","3.75"
"November 1997","4.00"
"December 1997","4.50"
"January 1998","4.50"
"February 1998","5.00"
"March 1998","5.00"
"April 1998","5.00"
"May 1998","5.00"
"June 1998","5.00"
"July 1998","5.00"
"August 1998","5.00"
"September 1998","5.75"
"October 1998","5.50"
"November 1998","5.25"
"December 1998","5.25"
"January 1999","5.25"
"February 1999","5.25"
"March 1999","5.00"
"April 1999","5.00"
"May 1999","4.75"
"June 1999","4.75"
"July 1999","4.75"
"August 1999","4.75"
"September 1999","4.75"
"October 1999","4.75"
"November 1999","5.00"
"December 1999","5.00"
"January 2000","5.00"
"February 2000","5.25"
"March 2000","5.50"
"April 2000","5.50"
"May 2000","6.00"
"June 2000","6.00"
"July 2000","6.00"
"August 2000","6.00"
"September 2000","6.00"
"October 2000","6.00"
"November 2000","6.00"
"December 2000","6.00"
"January 2001","5.75"
"February 2001","5.75"
"March 2001","5.25"
"April 2001","5.00"
"May 2001","4.75"
"June 2001","4.75"
"July 2001","4.50"
"August 2001","4.25"
"September 2001","3.75"
"October 2001","3.00"
"November 2001","2.50"
"December 2001","2.50"
"January 2002","2.25"
"February 2002","2.25"
"March 2002","2.25"
"April 2002","2.50"
"May 2002","2.50"
"June 2002","2.75"
"July 2002","3.00"
"August 2002","3.00"
"September 2002","3.00"
"October 2002","3.00"
"November 2002","3.00"
"December 2002","3.00"
"January 2003","3.00"
"February 2003","3.00"
"March 2003","3.25"
"April 2003","3.50"
"May 2003","3.50"
"June 2003","3.50"
"July 2003","3.25"
"August 2003","3.25"
"September 2003","3.00"
"October 2003","3.00"
"November 2003","3.00"
"December 2003","3.00"
"January 2004","2.75"
"February 2004","2.75"
"March 2004","2.50"
"April 2004","2.25"
"May 2004","2.25"
"June 2004","2.25"
"July 2004","2.25"
"August 2004","2.25"
"September 2004","2.50"
"October 2004","2.75"
"November 2004","2.75"
"December 2004","2.75"
"January 2005","2.75"
"February 2005","2.75"
"March 2005","2.75"
"April 2005","2.75"
"May 2005","2.75"
"June 2005","2.75"
"July 2005","2.75"
"August 2005","2.75"
"September 2005","3.00"
"October 2005","3.25"
"November 2005","3.25"
"December 2005","3.50"
"January 2006","3.75"
"February 2006","3.75"
"March 2006","4.00"
"April 2006","4.25"
"May 2006","4.50"
"June 2006","4.50"
"July 2006","4.50"
"August 2006","4.50"
"September 2006","4.50"
"October 2006","4.50"
"November 2006","4.50"
"December 2006","4.50"
"January 2007","4.50"
"February 2007","4.50"
"March 2007","4.50"
"April 2007","4.50"
"May 2007","4.50"
"June 2007","4.50"
"July 2007","4.75"
"August 2007","4.75"
"September 2007","4.75"
"October 2007","4.75"
"November 2007","4.75"
"December 2007","4.50"
"January 2008","4.25"
"February 2008","4.25"
"March 2008","3.75"
"April 2008","3.25"
"May 2008","3.25"
"June 2008","3.25"
"July 2008","3.25"
"August 2008","3.25"
"September 2008","3.25"
"October 2008","2.50"
"November 2008","2.50"
"December 2008","1.75"
"January 2009","1.25"
"February 2009","1.25"
"March 2009","0.75"
"April 2009","0.50"
"May 2009","0.50"
"June 2009","0.50"
"July 2009","0.50"
"August 2009","0.50"
"September 2009","0.50"
"October 2009","0.50"
"November 2009","0.50"
"December 2009","0.50"
"January 2010","0.50"
"February 2010","0.50"
"March 2010","0.50"
"April 2010","0.50"
"May 2010","0.50"
"June 2010","0.75"
"July 2010","1.00"
"August 2010","1.00"
"September 2010","1.25"
"October 2010","1.25"
"November 2010","1.25"
"December 2010","1.25"
"January 2011","1.25"
"February 2011","1.25"
"March 2011","1.25"
"April 2011","1.25"
"May 2011","1.25"
"June 2011","1.25"
"July 2011","1.25"
"August 2011","1.25"
"September 2011","1.25"
"October 2011","1.25"
"November 2011","1.25"
"December 2011","1.25"
"January 2012","1.25"
"February 2012","1.25"
"March 2012","1.25"
"April 2012","1.25"
"May 2012","1.25"
"June 2012","1.25"
"July 2012","1.25"
"August 2012","1.25"
"September 2012","1.25"
"October 2012","1.25"
"November 2012","1.25"
"December 2012","1.25"
"January 2013","1.25"
"February 2013","1.25"
"March 2013","1.25"
"April 2013","1.25"
"May 2013","1.25"
"June 2013","1.25"
"July 2013","1.25"
"August 2013","1.25"
"September 2013","1.25"
"October 2013","1.25"
"November 2013","1.25"
"December 2013","1.25"
"January 2014","1.25"
"February 2014","1.25"
"March 2014","1.25"
"April 2014","1.25"
"May 2014","1.25"
"June 2014","1.25"
"July 2014","1.25"
"August 2014","1.25"
"September 2014","1.25"
"October 2014","1.25"
"November 2014","1.25"
"December 2014","1.25"
"January 2015","1.00"
"February 2015","1.00"
"March 2015","1.00"
"April 2015","1.00"
"May 2015","1.00"
"June 2015","1.00"
"July 2015","0.75"
"August 2015","0.75"
"September 2015","0.75"
"October 2015","0.75"
"November 2015","0.75"
"December 2015","0.75"
"January 2016","0.75"
"February 2016","0.75"
"March 2016","0.75"
"April 2016","0.75"
"May 2016","0.75"
"June 2016","0.75"
"July 2016","0.75"
"August 2016","0.75"
"September 2016","0.75"
"October 2016","0.75"
"November 2016","0.75"
"December 2016","0.75"
"January 2017","0.75"
"February 2017","0.75"
"March 2017","0.75"
"April 2017","0.75"
"May 2017","0.75"
"June 2017","0.75"
"July 2017","1.00"
"August 2017","1.00"
"September 2017","1.25"
"October 2017","1.25"
"November 2017","1.25"
"December 2017","1.25"
"January 2018","1.50"
"February 2018","1.50"
"March 2018","1.50"
"April 2018","1.50"
"May 2018","1.50"
"June 2018","1.50"
"July 2018","1.75"
"August 2018","1.75"
"September 2018","1.75"
"October 2018","2.00"
"November 2018","2.00"
"December 2018","2.00"
"January 2019","2.00"
"February 2019","2.00"
"March 2019","2.00"
"April 2019","2.00"
"May 2019","2.00"
"June 2019","2.00"
"July 2019","2.00"
"August 2019","2.00"
"September 2019","2.00"
"October 2019","2.00"
"November 2019","2.00"
"December 2019","2.00"
"January 2020","2.00"
"February 2020","2.00"
"March 2020","1.00"
"April 2020","0.50"
"May 2020","0.50"
"June 2020","0.50"
"July 2020","0.50"
"August 2020","0.50"
"September 2020","0.50"
"October 2020","0.50"
"November 2020","0.50"
"December 2020","0.50"
"January 2021","0.50"
"February 2021","0.50"
"March 2021","0.50"
"April 2021","0.50"
"May 2021","0.50"
"June 2021","0.50"
"July 2021","0.50"
"August 2021","0.50"
"September 2021","0.50"
"October 2021","0.50"
"November 2021","0.50"
"December 2021","0.50"
"January 2022","0.50"
"February 2022","0.50"
"March 2022","0.75"
"April 2022","1.25"
"May 2022","1.25"
"June 2022","1.75"
"July 2022","2.75"
"August 2022","2.75"
"September 2022","3.50"
