"Date","Price","Open","High","Low","Vol.","Change %"
"2021-11-03","1.2389","1.2405","1.2458","1.2379","73.76K","-0.16%"
"2021-11-02","1.2409","1.2370","1.2426","1.2365","53.63K","0.34%"
"2021-11-01","1.2367","1.2394","1.2405","1.2350","57.45K","-0.16%"
"2021-10-29","1.2387","1.2346","1.2409","1.2328","65.21K","0.36%"
"2021-10-28","1.2342","1.2355","1.2384","1.2330","75.68K","-0.11%"
"2021-10-27","1.2356","1.2389","1.2433","1.2301","63.72K","-0.26%"
"2021-10-26","1.2388","1.2380","1.2398","1.2349","54.15K","0.06%"
"2021-10-25","1.2381","1.2369","1.2400","1.2337","57.48K","0.11%"
"2021-10-22","1.2367","1.2363","1.2391","1.2320","62.30K","0.02%"
"2021-10-21","1.2364","1.2322","1.2385","1.2288","56.90K","0.37%"
"2021-10-20","1.2319","1.2363","1.2370","1.2306","62.24K","-0.35%"
"2021-10-19","1.2362","1.2378","1.2384","1.2311","55.39K","-0.10%"
"2021-10-18","1.2374","1.2371","1.2411","1.2346","61.86K","0.06%"
"2021-10-15","1.2366","1.2370","1.2399","1.2335","54.72K","-0.01%"
"2021-10-14","1.2367","1.2443","1.2450","1.2354","49.90K","-0.59%"
"2021-10-13","1.2441","1.2465","1.2479","1.2430","57.30K","-0.19%"
"2021-10-12","1.2465","1.2483","1.2500","1.2432","85.52K","-0.14%"
"2021-10-11","1.2482","1.2476","1.2493","1.2445","67.54K","0.10%"
"2021-10-08","1.2469","1.2549","1.2564","1.2449","86.23K","-0.61%"
"2021-10-07","1.2546","1.2588","1.2601","1.2538","80.73K","-0.33%"
"2021-10-06","1.2587","1.2582","1.2649","1.2574","98.94K","0.05%"
"2021-10-05","1.2581","1.2591","1.2631","1.2543","83.55K","-0.05%"
"2021-10-04","1.2587","1.2651","1.2656","1.2555","97.99K","-0.47%"
"2021-10-01","1.2647","1.2679","1.2739","1.2626","100.62K","-0.24%"
"2021-09-30","1.2678","1.2756","1.2764","1.2628","98.72K","-0.60%"
"2021-09-29","1.2754","1.2687","1.2775","1.2666","95.35K","0.54%"
"2021-09-28","1.2685","1.2628","1.2708","1.2591","96.02K","0.46%"
"2021-09-27","1.2627","1.2655","1.2674","1.2608","77.19K","-0.20%"
"2021-09-24","1.2652","1.2652","1.2731","1.2638","77.84K","-0.02%"
"2021-09-23","1.2655","1.2772","1.2797","1.2630","84.54K","-0.90%"
"2021-09-22","1.2770","1.2824","1.2833","1.2696","90.94K","-0.35%"
"2021-09-21","1.2815","1.2826","1.2850","1.2740","88.63K","-0.08%"
"2021-09-20","1.2825","1.2765","1.2896","1.2759","78.65K","0.46%"
"2021-09-17","1.2766","1.2680","1.2773","1.2636","64.69K","0.67%"
"2021-09-16","1.2681","1.2637","1.2700","1.2614","74.33K","0.38%"
"2021-09-15","1.2633","1.2694","1.2709","1.2622","76.55K","-0.47%"
"2021-09-14","1.2693","1.2651","1.2700","1.2598","77.10K","0.33%"
"2021-09-13","1.2651","1.2686","1.2696","1.2635","59.60K","-0.30%"
"2021-09-10","1.2689","1.2664","1.2695","1.2580","72.12K","0.21%"
"2021-09-09","1.2662","1.2690","1.2729","1.2620","83.32K","-0.21%"
"2021-09-08","1.2689","1.2645","1.2763","1.2624","81.47K","0.33%"
"2021-09-07","1.2647","1.2536","1.2657","1.2517","68.93K","0.88%"
"2021-09-06","1.2537","1.2526","1.2560","1.2515","39.98K","0.09%"
"2021-09-03","1.2526","1.2553","1.2563","1.2491","67.52K","-0.20%"
"2021-09-02","1.2551","1.2620","1.2639","1.2546","62.37K","-0.52%"
"2021-09-01","1.2616","1.2622","1.2638","1.2578","66.29K","0.02%"
"2021-08-31","1.2614","1.2606","1.2655","1.2567","71.54K","0.10%"
"2021-08-30","1.2601","1.2622","1.2636","1.2571","58.33K","-0.20%"
"2021-08-27","1.2626","1.2688","1.2709","1.2603","67.38K","-0.44%"
"2021-08-26","1.2682","1.2592","1.2697","1.2584","68.08K","0.74%"
"2021-08-25","1.2589","1.2587","1.2644","1.2584","65.83K","0.00%"
"2021-08-24","1.2589","1.2649","1.2662","1.2576","61.89K","-0.44%"
"2021-08-23","1.2645","1.2821","1.2842","1.2640","73.05K","-1.37%"
"2021-08-20","1.2821","1.2825","1.2950","1.2812","84.52K","-0.04%"
"2021-08-19","1.2826","1.2656","1.2831","1.2646","92.27K","1.35%"
"2021-08-18","1.2655","1.2630","1.2664","1.2595","72.65K","0.20%"
"2021-08-17","1.2630","1.2573","1.2650","1.2565","70.14K","0.46%"
"2021-08-16","1.2572","1.2519","1.2586","1.2510","58.62K","0.47%"
"2021-08-13","1.2513","1.2527","1.2535","1.2499","53.80K","-0.10%"
"2021-08-12","1.2525","1.2506","1.2534","1.2498","56.12K","0.15%"
"2021-08-11","1.2506","1.2524","1.2550","1.2486","62.71K","-0.10%"
"2021-08-10","1.2519","1.2574","1.2591","1.2516","61.73K","-0.44%"
"2021-08-09","1.2574","1.2552","1.2588","1.2529","69.92K","0.18%"
"2021-08-06","1.2552","1.2509","1.2582","1.2491","63.17K","0.36%"
"2021-08-05","1.2507","1.2536","1.2549","1.2472","65.18K","-0.22%"
"2021-08-04","1.2534","1.2538","1.2564","1.2513","62.37K","-0.02%"
"2021-08-03","1.2536","1.2512","1.2577","1.2487","72.36K","0.22%"
"2021-08-02","1.2509","1.2479","1.2516","1.2450","62.36K","0.31%"
"2021-07-30","1.2470","1.2447","1.2492","1.2420","71.69K","0.21%"
"2021-07-29","1.2444","1.2530","1.2540","1.2430","70.09K","-0.66%"
"2021-07-28","1.2527","1.2602","1.2606","1.2513","84.25K","-0.58%"
"2021-07-27","1.2600","1.2550","1.2606","1.2536","75.16K","0.48%"
"2021-07-26","1.2540","1.2564","1.2592","1.2525","55.97K","-0.17%"
"2021-07-23","1.2561","1.2567","1.2608","1.2553","63.04K","-0.02%"
"2021-07-22","1.2564","1.2560","1.2595","1.2527","72.32K","0.10%"
"2021-07-21","1.2552","1.2681","1.2731","1.2523","77.88K","-0.99%"
"2021-07-20","1.2677","1.2750","1.2787","1.2671","86.27K","-0.56%"
"2021-07-19","1.2748","1.2610","1.2809","1.2605","91.95K","1.09%"
"2021-07-16","1.2611","1.2593","1.2622","1.2559","75.90K","0.15%"
"2021-07-15","1.2592","1.2508","1.2615","1.2499","80.10K","0.69%"
"2021-07-14","1.2506","1.2511","1.2527","1.2429","76.63K","-0.03%"
"2021-07-13","1.2510","1.2454","1.2541","1.2440","69.30K","0.47%"
"2021-07-12","1.2451","1.2442","1.2515","1.2442","69.27K","0.04%"
"2021-07-09","1.2446","1.2532","1.2558","1.2441","79.26K","-0.69%"
"2021-07-08","1.2532","1.2478","1.2592","1.2473","88.63K","0.44%"
"2021-07-07","1.2477","1.2463","1.2521","1.2420","77.62K","0.12%"
"2021-07-06","1.2462","1.2342","1.2495","1.2300","76.46K","1.01%"
"2021-07-05","1.2338","1.2320","1.2372","1.2309","61.22K","0.15%"
"2021-07-02","1.2319","1.2439","1.2451","1.2306","64.36K","-0.94%"
"2021-07-01","1.2436","1.2399","1.2447","1.2362","65.16K","0.34%"
"2021-06-30","1.2394","1.2402","1.2425","1.2353","69.16K","-0.06%"
"2021-06-29","1.2401","1.2337","1.2404","1.2329","64.14K","0.54%"
"2021-06-28","1.2335","1.2294","1.2349","1.2285","64.48K","0.33%"
"2021-06-25","1.2294","1.2326","1.2330","1.2269","62.38K","-0.23%"
"2021-06-24","1.2322","1.2310","1.2342","1.2280","66.85K","0.14%"
"2021-06-23","1.2305","1.2307","1.2329","1.2250","70.78K","0.00%"
"2021-06-22","1.2305","1.2363","1.2404","1.2300","74.14K","-0.44%"
"2021-06-21","1.2359","1.2465","1.2487","1.2351","73.48K","-0.83%"
"2021-06-18","1.2462","1.2360","1.2481","1.2336","83.66K","0.82%"
"2021-06-17","1.2361","1.2277","1.2379","1.2260","84.24K","0.69%"
"2021-06-16","1.2276","1.2183","1.2284","1.2154","70.69K","0.79%"
"2021-06-15","1.2180","1.2144","1.2205","1.2127","60.68K","0.32%"
"2021-06-14","1.2141","1.2149","1.2172","1.2126","56.50K","-0.12%"
"2021-06-11","1.2155","1.2093","1.2178","1.2078","54.62K","0.50%"
"2021-06-10","1.2094","1.2112","1.2126","1.2068","59.51K","-0.12%"
"2021-06-09","1.2109","1.2111","1.2119","1.2056","52.15K","-0.01%"
"2021-06-08","1.2110","1.2081","1.2119","1.2068","56.29K","0.26%"
"2021-06-07","1.2079","1.2075","1.2108","1.2054","45.43K","0.00%"
"2021-06-04","1.2079","1.2107","1.2134","1.2068","59.38K","-0.19%"
"2021-06-03","1.2102","1.2034","1.2120","1.2027","58.16K","0.58%"
"2021-06-02","1.2032","1.2071","1.2092","1.2027","58.50K","-0.31%"
"2021-06-01","1.2070","1.2064","1.2079","1.2004","59.22K","0.07%"
"2021-05-31","1.2062","1.2070","1.2092","1.2044","63.01K","-0.05%"
"2021-05-28","1.2068","1.2063","1.2121","1.2061","66.14K","0.03%"
"2021-05-27","1.2064","1.2120","1.2142","1.2054","71.30K","-0.44%"
"2021-05-26","1.2117","1.2070","1.2128","1.2041","73.83K","0.46%"
"2021-05-25","1.2062","1.2045","1.2079","1.2027","75.74K","0.19%"
"2021-05-24","1.2039","1.2061","1.2086","1.2038","64.65K","-0.22%"
"2021-05-21","1.2066","1.2061","1.2096","1.2025","77.63K","0.07%"
"2021-05-20","1.2058","1.2127","1.2146","1.2047","78.37K","-0.60%"
"2021-05-19","1.2131","1.2066","1.2143","1.2052","89.58K","0.56%"
"2021-05-18","1.2064","1.2068","1.2082","1.2011","67.67K","-0.02%"
"2021-05-17","1.2066","1.2098","1.2138","1.2058","72.89K","-0.30%"
